original_columns	original_values	BICCN_ontology_term_id	ontology_label	project_name	doi
cluster_label@subclass_label	GABAergic@Lamp5	ILX:0770149	Lamp5 neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	GABAergic@Prog/IP	Prog/IP		yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	GABAergic@Pvalb	ILX:0770154	Pvalb neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	GABAergic@Sncg	ILX:0770150	Sncg neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	GABAergic@Sst	ILX:0770152	Sst neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	GABAergic@Vip	ILX:0770151	Vip GABAergic neuron (BICCN 2020)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@CR	CR		yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L2/3 IT	ILX:0770156	L2/3 IT neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L5 ET	ILX:0770160	L5 ET neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L5 IT	ILX:0770157	L5 IT neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L5/6 NP	ILX:0770161	L5/6 NP neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L6 CT	ILX:0770162	L6 CT neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L6 IT	ILX:0770158	L6 IT neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L6 IT Car3	ILX:0770159	L6 IT Car3 neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Glutamatergic@L6b	ILX:0770163	L6b neuron (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Astro	ILX:0770141	Astrocyte (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Endo	ILX:0770142	Endothelial cell (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Macrophage	Macrophage		yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Micro	ILX:0770146	Microglia (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@OPC	ILX:0770139	Oligodendrocyte progenitor cell (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Oligo	ILX:0770140	Oligodendrocyte (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Peri	ILX:0770145	Pericyte (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@Prog/IP	Prog/IP		yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@SMC	ILX:0770144	Smooth muscle cell (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cluster_label@subclass_label	Non-Neuronal@VLMC	ILX:0770143	Vascular leptomeningeal cell (BICCN)	yao_mop	https://doi.org/10.1101/2020.02.29.970558
cell_type__custom@cell_type__ontology_label	Bergmann glial cell@Bergmann glial cell	Bergmann glial cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Choroid@ependymal cell	Choroid		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Endothelial mural@endothelial cell	ILX:0770142	Endothelial cell (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Molecular layer interneuron 1 (MLI1)@inhibitory interneuron	Molecular layer interneuron 1 (MLI1)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Molecular layer interneuron 2 (MLI2)@interneuron	Molecular layer interneuron 2 (MLI2)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Purkinje cell@Purkinje cell	Purkinje cell		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Purkinje layer interneuron (PLI)@interneuron	Purkinje layer interneuron (PLI)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	Unipolar brush cell (UBC)@excitatory neuron	Unipolar brush cell (UBC)		kozareva	https://doi.org/10.1101/2020.03.04.976407
cell_type__custom@cell_type__ontology_label	astrocyte of the cerebellum@astrocyte of the cerebellum	ILX:0770141	Astrocyte (BICCN)	kozareva	https://doi.org/10.1101/2020.03.04.976407
